Bx,By,Bmagnetic,CoreLoss
9.73928e-07,-7.21869e-11,9.73928e-07,3.35358e-12
9.73945e-07,-6.70346e-11,9.73945e-07,3.3537e-12
9.7396e-07,-6.02235e-11,9.7396e-07,3.3538e-12
9.73974e-07,-5.18377e-11,9.73974e-07,3.3539e-12
9.73986e-07,-4.20176e-11,9.73986e-07,3.35398e-12
9.73996e-07,-3.0972e-11,9.73996e-07,3.35405e-12
9.74003e-07,-1.89824e-11,9.74003e-07,3.3541e-12
9.74007e-07,-6.39565e-12,9.74007e-07,3.35413e-12
9.74009e-07,-4.901e-12,9.74009e-07,3.35414e-12
9.10934e-07,-8.09485e-12,9.10934e-07,2.93379e-12
9.10936e-07,-2.40084e-11,9.10936e-07,2.9338e-12
9.10941e-07,-3.91195e-11,9.10941e-07,2.93383e-12
9.10949e-07,-5.2974e-11,9.10949e-07,2.93389e-12
9.1096e-07,-6.52179e-11,9.1096e-07,2.93396e-12
9.10973e-07,-7.56054e-11,9.10973e-07,2.93404e-12
9.10989e-07,-8.39881e-11,9.10989e-07,2.93414e-12
9.11006e-07,-9.02929e-11,9.11006e-07,2.93425e-12
9.11024e-07,-9.4495e-11,9.11024e-07,2.93437e-12
9.11043e-07,-9.65939e-11,9.11043e-07,2.93449e-12
9.11062e-07,-9.65939e-11,9.11062e-07,2.93461e-12
9.11081e-07,-9.4495e-11,9.11081e-07,2.93474e-12
9.111e-07,-9.02929e-11,9.111e-07,2.93486e-12
9.11118e-07,-8.39881e-11,9.11118e-07,2.93497e-12
9.11135e-07,-7.56054e-11,9.11135e-07,2.93508e-12
9.1115e-07,-6.52179e-11,9.1115e-07,2.93518e-12
9.11164e-07,-5.2974e-11,9.11164e-07,2.93527e-12
9.11175e-07,-3.91195e-11,9.11175e-07,2.93534e-12
9.11183e-07,-2.40084e-11,9.11183e-07,2.93539e-12
9.11188e-07,-8.09485e-12,9.11188e-07,2.93542e-12
9.1119e-07,-6.39565e-12,9.1119e-07,2.93544e-12
8.48086e-07,-1.00702e-11,8.48086e-07,2.54293e-12
8.48088e-07,-2.98367e-11,8.48088e-07,2.54294e-12
8.48094e-07,-4.85238e-11,8.48094e-07,2.54298e-12
8.48103e-07,-6.55411e-11,8.48103e-07,2.54304e-12
8.48116e-07,-8.04546e-11,8.48116e-07,2.54311e-12
8.48131e-07,-9.29921e-11,8.48131e-07,2.5432e-12
8.48148e-07,-1.0302e-10,8.48148e-07,2.54331e-12
8.48168e-07,-1.10501e-10,8.48168e-07,2.54342e-12
8.48188e-07,-1.15457e-10,8.48188e-07,2.54354e-12
8.48209e-07,-1.17922e-10,8.48209e-07,2.54367e-12
8.4823e-07,-1.17922e-10,8.4823e-07,2.5438e-12
8.48251e-07,-1.15457e-10,8.48251e-07,2.54392e-12
8.48272e-07,-1.10501e-10,8.48272e-07,2.54405e-12
8.48293e-07,-1.0302e-10,8.48293e-07,2.54417e-12
8.48312e-07,-9.29921e-11,8.48312e-07,2.54429e-12
8.48329e-07,-8.04546e-11,8.48329e-07,2.54439e-12
8.48344e-07,-6.55411e-11,8.48344e-07,2.54448e-12
8.48357e-07,-4.85238e-11,8.48357e-07,2.54456e-12
8.48366e-07,-2.98367e-11,8.48366e-07,2.54461e-12
8.48372e-07,-1.00702e-11,8.48372e-07,2.54465e-12
8.48374e-07,-8.09485e-12,8.48374e-07,2.54466e-12
7.85234e-07,-1.24196e-11,7.85234e-07,2.17998e-12
7.85236e-07,-3.67445e-11,7.85236e-07,2.18e-12
7.85243e-07,-5.95978e-11,7.85243e-07,2.18004e-12
7.85254e-07,-8.02119e-11,7.85254e-07,2.1801e-12
7.85269e-07,-9.80672e-11,7.85269e-07,2.18018e-12
7.85287e-07,-1.12889e-10,7.85287e-07,2.18028e-12
7.85307e-07,-1.24597e-10,7.85307e-07,2.18039e-12
7.85328e-07,-1.33236e-10,7.85328e-07,2.18051e-12
7.85351e-07,-1.38909e-10,7.85351e-07,2.18063e-12
7.85374e-07,-1.41716e-10,7.85374e-07,2.18076e-12
7.85398e-07,-1.41716e-10,7.85398e-07,2.1809e-12
7.85422e-07,-1.38909e-10,7.85422e-07,2.18103e-12
7.85445e-07,-1.33236e-10,7.85445e-07,2.18116e-12
7.85468e-07,-1.24597e-10,7.85468e-07,2.18128e-12
7.8549e-07,-1.12889e-10,7.8549e-07,2.1814e-12
7.8551e-07,-9.80672e-11,7.8551e-07,2.18151e-12
7.85527e-07,-8.02119e-11,7.85527e-07,2.18161e-12
7.85542e-07,-5.95978e-11,7.85542e-07,2.18169e-12
7.85553e-07,-3.67445e-11,7.85553e-07,2.18175e-12
7.8556e-07,-1.24196e-11,7.8556e-07,2.18179e-12
7.85562e-07,-1.00702e-11,7.85562e-07,2.18181e-12
7.22377e-07,-1.52833e-11,7.22377e-07,1.84494e-12
7.2238e-07,-4.51237e-11,7.2238e-07,1.84496e-12
7.22389e-07,-7.29111e-11,7.22389e-07,1.845e-12
