Bx,By,Bmagnetic,CoreLoss
2.61865e-08,-5.24255e-09,2.67061e-08,2.5216e-15
2.99919e-08,-2.39445e-09,3.00873e-08,3.20053e-15
3.0936e-08,-1.43464e-09,3.09693e-08,3.39092e-15
3.12117e-08,-1.02612e-09,3.12285e-08,3.44793e-15
3.13104e-08,-8.15152e-10,3.13211e-08,3.46839e-15
3.13541e-08,-6.91575e-10,3.13618e-08,3.47741e-15
3.13773e-08,-6.14358e-10,3.13833e-08,3.4822e-15
3.13915e-08,-5.65593e-10,3.13966e-08,3.48515e-15
3.14014e-08,-5.3658e-10,3.1406e-08,3.48723e-15
3.14091e-08,-5.2299e-10,3.14135e-08,3.48889e-15
3.14159e-08,-5.2299e-10,3.14203e-08,3.4904e-15
3.14227e-08,-5.3658e-10,3.14273e-08,3.49196e-15
3.14304e-08,-5.65593e-10,3.14355e-08,3.49379e-15
3.14403e-08,-6.14358e-10,3.14463e-08,3.49619e-15
3.14545e-08,-6.91575e-10,3.14621e-08,3.4997e-15
3.14777e-08,-8.15152e-10,3.14883e-08,3.50552e-15
3.15214e-08,-1.02612e-09,3.15381e-08,3.51663e-15
3.16202e-08,-1.43464e-09,3.16527e-08,3.54223e-15
3.18958e-08,-2.39445e-09,3.19856e-08,3.61713e-15
3.284e-08,-5.24255e-09,3.32558e-08,3.91012e-15
3.284e-08,-5.24255e-09,3.32558e-08,3.91012e-15
